path,bytes,git,decision,reason
ArtSource/Presentation/SM_Banner.fbx,25788,untracked,include,
ArtSource/Presentation/SM_Bench.fbx,36348,untracked,include,
ArtSource/Presentation/SM_Bin.fbx,21644,untracked,include,
ArtSource/Presentation/SM_Brazier.fbx,29340,untracked,include,
ArtSource/Presentation/SM_Chest.fbx,26380,untracked,include,
ArtSource/Presentation/SM_Column.fbx,26732,untracked,include,
ArtSource/Presentation/SM_Facade.fbx,64748,untracked,include,
ArtSource/Presentation/SM_Hydrant.fbx,24300,untracked,include,
ArtSource/Presentation/SM_Palm.fbx,18220,untracked,include,
ArtSource/Presentation/SM_Planter.fbx,27388,untracked,include,
ArtSource/Presentation/SM_Railing.fbx,36012,untracked,include,
ArtSource/Presentation/SM_Sentry.fbx,52428,untracked,include,
ArtSource/Presentation/SM_StreetLamp.fbx,31004,untracked,include,
ArtSource/Presentation/SM_TravelAnchor.fbx,30012,untracked,include,
ArtSource/Presentation/layouts.json,256449,untracked,include,
Config/DefaultEngine.ini,1679,modified tracked,include,
Config/DefaultGame.ini,751,modified tracked,include,
Content/Data/VerticalSlice/Characters/Curve_CharacterExperience.uasset,6418,untracked,include,
Content/Data/VerticalSlice/Characters/DA_CharacterCatalog_VerticalSlice.uasset,2139,untracked,include,
Content/Data/VerticalSlice/Characters/DA_Character_EvernightMoon.uasset,4420,modified tracked,include,
Content/Data/VerticalSlice/Characters/DA_Character_Huohua.uasset,4231,modified tracked,include,
Content/Data/VerticalSlice/Characters/DA_Character_Remiel.uasset,4197,modified tracked,include,
Content/Data/VerticalSlice/Characters/DA_Character_Verina.uasset,4345,modified tracked,include,
Content/Data/VerticalSlice/Dialogues/DA_Dialogue_Catherine.uasset,4458,untracked,include,
Content/Data/VerticalSlice/Encounters/DA_Encounter_CourtyardPatrol.uasset,4249,untracked,include,
Content/Data/VerticalSlice/Encounters/DA_Encounter_Laigushi.uasset,4339,modified tracked,include,
Content/Data/VerticalSlice/Encounters/DA_Encounter_SupportSectionInspector.uasset,4345,modified tracked,include,
Content/Data/VerticalSlice/Enemies/DA_Boss_Laigushi.uasset,2798,modified tracked,include,
Content/Data/VerticalSlice/Enemies/DA_EnemyCatalog.uasset,1846,modified tracked,include,
Content/Data/VerticalSlice/Enemies/DA_Enemy_CourtyardPatrol.uasset,3093,untracked,include,
Content/Data/VerticalSlice/Enemies/DA_Enemy_SupportSectionInspector.uasset,2736,modified tracked,include,
Content/Data/VerticalSlice/Equipment/DA_EnhancementCatalog_VerticalSlice.uasset,12792,untracked,include,
Content/Data/VerticalSlice/Equipment/DA_Weapon_EchoConductor.uasset,1842,untracked,include,
Content/Data/VerticalSlice/Items/DA_InventoryCatalog_VerticalSlice.uasset,5831,untracked,include,
Content/Data/VerticalSlice/Items/DA_ItemEquipmentMappingCatalog_VerticalSlice.uasset,3316,modified tracked,include,
Content/Data/VerticalSlice/Items/Weapons/DA_Item_EchoConductor.uasset,1783,untracked,include,
Content/Data/VerticalSlice/Maps/DA_MapCatalog_VerticalSlice.uasset,2409,untracked,include,
Content/Data/VerticalSlice/Maps/DA_Map_HertaSupportSection.uasset,1934,modified tracked,include,
Content/Data/VerticalSlice/Maps/DA_Map_NewEriduSixthStreetMetro.uasset,1987,modified tracked,include,
Content/Data/VerticalSlice/Maps/DA_Map_ObservationCar.uasset,1900,modified tracked,include,
Content/Data/VerticalSlice/Quests/DA_Quest_DomainEcho.uasset,3165,modified tracked,include,
Content/Data/VerticalSlice/Relics/Pieces/DA_Relic_HeavenLiveRoom_LinkRope.uasset,2107,modified tracked,include,
Content/Data/VerticalSlice/Relics/Pieces/DA_Relic_HeavenLiveRoom_PlanarSphere.uasset,2136,modified tracked,include,
Content/Data/VerticalSlice/Relics/Pieces/DA_Relic_ShiningMagicalGirl_Body.uasset,2109,modified tracked,include,
Content/Data/VerticalSlice/Relics/Pieces/DA_Relic_ShiningMagicalGirl_Feet.uasset,2107,modified tracked,include,
Content/Data/VerticalSlice/Relics/Pieces/DA_Relic_ShiningMagicalGirl_Hands.uasset,2115,modified tracked,include,
Content/Data/VerticalSlice/Relics/Pieces/DA_Relic_ShiningMagicalGirl_Head.uasset,1979,modified tracked,include,
Content/Data/VerticalSlice/Rewards/DA_Reward_WangXiaYiTong.uasset,1997,modified tracked,include,
Content/Data/VerticalSlice/Skills/DA_Skill_EvernightMoon_Basic.uasset,2983,modified tracked,include,
Content/Data/VerticalSlice/Skills/DA_Skill_EvernightMoon_FullMoon.uasset,3691,modified tracked,include,
Content/Data/VerticalSlice/Skills/DA_Skill_EvernightMoon_Nightfall.uasset,3326,modified tracked,include,
Content/Data/VerticalSlice/Skills/DA_Skill_Huohua_Basic.uasset,3010,modified tracked,include,
Content/Data/VerticalSlice/Skills/DA_Skill_Huohua_BloomingStage.uasset,3470,modified tracked,include,
Content/Data/VerticalSlice/Skills/DA_Skill_Huohua_GrandOpening.uasset,3888,modified tracked,include,
Content/Data/VerticalSlice/Skills/DA_Skill_Remiel_Basic.uasset,3062,modified tracked,include,
Content/Data/VerticalSlice/Skills/DA_Skill_Remiel_Riftlight.uasset,3277,modified tracked,include,
Content/Data/VerticalSlice/Skills/DA_Skill_Remiel_SkyJudgment.uasset,3874,modified tracked,include,
Content/Data/VerticalSlice/Skills/DA_Skill_Verina_Basic.uasset,3010,modified tracked,include,
Content/Data/VerticalSlice/Skills/DA_Skill_Verina_BreathingGarden.uasset,3265,modified tracked,include,
Content/Data/VerticalSlice/Skills/DA_Skill_Verina_HealingSprout.uasset,2760,modified tracked,include,
Content/GameplayEffects/GE_Equipment_P12.uasset,27410,modified tracked,include,
Content/Maps/VerticalSlice/Map_HertaSupportSection.umap,116436,modified tracked,include,
Content/Maps/VerticalSlice/Map_NewEriduSixthStreetMetro.umap,356194,modified tracked,include,
Content/Maps/VerticalSlice/Map_ObservationCar.umap,130394,modified tracked,include,
Content/Presentation/Animation/ABP_Playable_EvernightMoon.uasset,378254,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/ABP_Playable_Huohua.uasset,378685,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/ABP_Playable_Remiel.uasset,376420,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/ABP_Playable_Verina.uasset,378037,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/CC0/IK_Quaternius.uasset,47330,untracked,include,
Content/Presentation/Animation/CC0/QuaterniusCast.uasset,100517,untracked,include,
Content/Presentation/Animation/CC0/QuaterniusDeath.uasset,1880899,untracked,include,
Content/Presentation/Animation/CC0/QuaterniusDeath_Anim.uasset,320599,untracked,include,
Content/Presentation/Animation/CC0/QuaterniusDeath_PhysicsAsset.uasset,12676,untracked,include,
Content/Presentation/Animation/CC0/QuaterniusDeath_Skeleton.uasset,19385,untracked,include,
Content/Presentation/Animation/CC0/QuaterniusHeal.uasset,106341,untracked,include,
Content/Presentation/Animation/Combat/CAST_Remiel_QuaterniusCast.uasset,1022841,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/CAST_Verina_QuaterniusCast.uasset,915069,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/CAST_Verina_QuaterniusHeal.uasset,916099,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/EvernightMoon_MM_Attack_01.uasset,459655,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/EvernightMoon_MM_Death_Front_01.uasset,461658,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/EvernightMoon_MM_HitReact_Front_Med_01.uasset,462041,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/FULL_EvernightMoon_QuaterniusDeath_Anim.uasset,508099,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/FULL_Huohua_QuaterniusDeath_Anim.uasset,516033,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/FULL_Remiel_QuaterniusDeath_Anim.uasset,1060978,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/FULL_Verina_QuaterniusDeath_Anim.uasset,953677,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/Huohua_MM_Attack_01.uasset,467886,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/Huohua_MM_Death_Front_01.uasset,469526,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/Huohua_MM_HitReact_Front_Med_01.uasset,469909,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/LIVE_EvernightMoon_MM_Attack_01.uasset,566774,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/LIVE_EvernightMoon_MM_ChargedAttack.uasset,649297,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/LIVE_EvernightMoon_MM_Death_Front_01.uasset,675598,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/LIVE_EvernightMoon_MM_HitReact_Front_Med_01.uasset,604834,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/LIVE_Huohua_MM_Attack_01.uasset,573183,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/LIVE_Huohua_MM_ChargedAttack.uasset,658405,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/LIVE_Huohua_MM_Death_Front_01.uasset,685164,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/LIVE_Huohua_MM_HitReact_Front_Med_01.uasset,614298,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/LIVE_Remiel_MM_Attack_01.uasset,1119788,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/LIVE_Remiel_MM_ChargedAttack.uasset,1202889,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/LIVE_Remiel_MM_Death_Front_01.uasset,1230406,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/LIVE_Remiel_MM_HitReact_Front_Med_01.uasset,1157735,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/LIVE_Verina_MM_Attack_01.uasset,1011049,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/LIVE_Verina_MM_ChargedAttack.uasset,1089529,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/LIVE_Verina_MM_Death_Front_01.uasset,1113249,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/LIVE_Verina_MM_HitReact_Front_Med_01.uasset,1050502,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/Remiel_MM_Attack_01.uasset,1011917,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/Remiel_MM_Death_Front_01.uasset,1013920,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/Remiel_MM_HitReact_Front_Med_01.uasset,1014303,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/Verina_MM_Attack_01.uasset,905349,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/Verina_MM_Death_Front_01.uasset,907352,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Combat/Verina_MM_HitReact_Front_Med_01.uasset,907735,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FINAL_EvernightMoon_ABP_Unarmed.uasset,379595,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FINAL_EvernightMoon_BS_Idle_Walk_Run.uasset,53849,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FINAL_EvernightMoon_MF_Unarmed_Jog_Bwd.uasset,740014,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FINAL_EvernightMoon_MF_Unarmed_Jog_Bwd_Left.uasset,741978,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FINAL_EvernightMoon_MF_Unarmed_Jog_Bwd_Right.uasset,741869,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FINAL_EvernightMoon_MF_Unarmed_Jog_Fwd.uasset,786052,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FINAL_EvernightMoon_MF_Unarmed_Jog_Fwd_Left.uasset,788192,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FINAL_EvernightMoon_MF_Unarmed_Jog_Fwd_Right.uasset,788232,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FINAL_EvernightMoon_MF_Unarmed_Jog_Left.uasset,749497,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FINAL_EvernightMoon_MF_Unarmed_Jog_Right.uasset,786609,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FINAL_EvernightMoon_MF_Unarmed_Walk_Bwd.uasset,856987,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FINAL_EvernightMoon_MF_Unarmed_Walk_Bwd_Left.uasset,860203,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FINAL_EvernightMoon_MF_Unarmed_Walk_Bwd_Right.uasset,860087,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FINAL_EvernightMoon_MF_Unarmed_Walk_Fwd.uasset,738043,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FINAL_EvernightMoon_MF_Unarmed_Walk_Fwd_Left.uasset,739977,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FINAL_EvernightMoon_MF_Unarmed_Walk_Fwd_Right.uasset,739730,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FINAL_EvernightMoon_MF_Unarmed_Walk_Left.uasset,746985,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FINAL_EvernightMoon_MF_Unarmed_Walk_Right.uasset,746637,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FINAL_EvernightMoon_MM_Fall_Loop.uasset,999634,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FINAL_EvernightMoon_MM_Idle.uasset,1815235,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FINAL_EvernightMoon_MM_Jump.uasset,623896,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FINAL_EvernightMoon_MM_Land.uasset,622608,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FIX_EvernightMoon_ABP_Unarmed.uasset,379820,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FIX_EvernightMoon_BS_Idle_Walk_Run.uasset,54112,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FIX_EvernightMoon_MF_Unarmed_Jog_Bwd.uasset,459804,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FIX_EvernightMoon_MF_Unarmed_Jog_Bwd_Left.uasset,458692,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FIX_EvernightMoon_MF_Unarmed_Jog_Bwd_Right.uasset,458697,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FIX_EvernightMoon_MF_Unarmed_Jog_Fwd.uasset,459814,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FIX_EvernightMoon_MF_Unarmed_Jog_Fwd_Left.uasset,458692,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FIX_EvernightMoon_MF_Unarmed_Jog_Fwd_Right.uasset,458697,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FIX_EvernightMoon_MF_Unarmed_Jog_Left.uasset,459812,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FIX_EvernightMoon_MF_Unarmed_Jog_Right.uasset,459830,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FIX_EvernightMoon_MF_Unarmed_Walk_Bwd.uasset,459850,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FIX_EvernightMoon_MF_Unarmed_Walk_Bwd_Left.uasset,458736,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FIX_EvernightMoon_MF_Unarmed_Walk_Bwd_Right.uasset,458741,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FIX_EvernightMoon_MF_Unarmed_Walk_Fwd.uasset,459533,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FIX_EvernightMoon_MF_Unarmed_Walk_Fwd_Left.uasset,458408,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FIX_EvernightMoon_MF_Unarmed_Walk_Fwd_Right.uasset,458413,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FIX_EvernightMoon_MF_Unarmed_Walk_Left.uasset,459541,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FIX_EvernightMoon_MF_Unarmed_Walk_Right.uasset,459524,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FIX_EvernightMoon_MM_Fall_Loop.uasset,458715,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FIX_EvernightMoon_MM_Idle.uasset,458591,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FIX_EvernightMoon_MM_Jump.uasset,458687,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/FIX_EvernightMoon_MM_Land.uasset,458847,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/LIVE_EvernightMoon_ABP_Unarmed.uasset,379496,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/LIVE_EvernightMoon_BS_Idle_Walk_Run.uasset,53743,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/LIVE_EvernightMoon_MF_Unarmed_Jog_Bwd.uasset,742669,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/LIVE_EvernightMoon_MF_Unarmed_Jog_Bwd_Left.uasset,744532,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/LIVE_EvernightMoon_MF_Unarmed_Jog_Bwd_Right.uasset,744506,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/LIVE_EvernightMoon_MF_Unarmed_Jog_Fwd.uasset,789049,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/LIVE_EvernightMoon_MF_Unarmed_Jog_Fwd_Left.uasset,791278,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/LIVE_EvernightMoon_MF_Unarmed_Jog_Fwd_Right.uasset,791279,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/LIVE_EvernightMoon_MF_Unarmed_Jog_Left.uasset,749004,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/LIVE_EvernightMoon_MF_Unarmed_Jog_Right.uasset,786184,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/LIVE_EvernightMoon_MF_Unarmed_Walk_Bwd.uasset,860768,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/LIVE_EvernightMoon_MF_Unarmed_Walk_Bwd_Left.uasset,863900,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/LIVE_EvernightMoon_MF_Unarmed_Walk_Bwd_Right.uasset,863829,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/LIVE_EvernightMoon_MF_Unarmed_Walk_Fwd.uasset,743143,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/LIVE_EvernightMoon_MF_Unarmed_Walk_Fwd_Left.uasset,744911,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/LIVE_EvernightMoon_MF_Unarmed_Walk_Fwd_Right.uasset,744801,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/LIVE_EvernightMoon_MF_Unarmed_Walk_Left.uasset,746277,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/LIVE_EvernightMoon_MF_Unarmed_Walk_Right.uasset,745953,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/LIVE_EvernightMoon_MM_Fall_Loop.uasset,999595,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/LIVE_EvernightMoon_MM_Idle.uasset,1815193,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/LIVE_EvernightMoon_MM_Jump.uasset,623877,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/EvernightMoon/LIVE_EvernightMoon_MM_Land.uasset,622487,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/Huohua/FINAL_Huohua_ABP_Unarmed.uasset,379822,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/Huohua/FINAL_Huohua_BS_Idle_Walk_Run.uasset,54813,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
Content/Presentation/Animation/Locomotion/Huohua/FINAL_Huohua_MF_Unarmed_Jog_Bwd.uasset,749712,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
