verdict,group,path,bytes,class,purpose,sha256,evidence,referencers,git,backup,risk,approved
待核实,Content/Assets/Mannequins,Content/Assets/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Right.uasset,521297,AnimSequence,角色 / 动作 / 重定向,,test / authoring dependency: dependency of /Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,/Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,ignored,external local archive + SHA-256 manifest required,中,NO
待核实,Content/Assets/Mannequins,Content/Assets/Mannequins/Anims/Unarmed/Jump/MM_Fall_Loop.uasset,925169,AnimSequence,角色 / 动作 / 重定向,,test / authoring dependency: dependency of /Game/Assets/Mannequins/Anims/Unarmed/ABP_Unarmed,/Game/Assets/Mannequins/Anims/Unarmed/ABP_Unarmed,ignored,external local archive + SHA-256 manifest required,中,NO
待核实,Content/Assets/Mannequins,Content/Assets/Mannequins/Anims/Unarmed/Jump/MM_Jump.uasset,403548,AnimSequence,角色 / 动作 / 重定向,,test / authoring dependency: dependency of /Game/Assets/Mannequins/Anims/Unarmed/ABP_Unarmed,/Game/Assets/Mannequins/Anims/Unarmed/ABP_Unarmed,ignored,external local archive + SHA-256 manifest required,中,NO
待核实,Content/Assets/Mannequins,Content/Assets/Mannequins/Anims/Unarmed/Jump/MM_Land.uasset,409835,AnimSequence,角色 / 动作 / 重定向,,test / authoring dependency: dependency of /Game/Assets/Mannequins/Anims/Unarmed/ABP_Unarmed,/Game/Assets/Mannequins/Anims/Unarmed/ABP_Unarmed,ignored,external local archive + SHA-256 manifest required,中,NO
待核实,Content/Assets/Mannequins,Content/Assets/Mannequins/Anims/Unarmed/MM_Idle.uasset,1436372,AnimSequence,角色 / 动作 / 重定向,,test / authoring dependency: dependency of /Game/Assets/Mannequins/Anims/Unarmed/ABP_Unarmed,/Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run; /Game/Assets/Mannequins/Anims/Unarmed/ABP_Unarmed,ignored,external local archive + SHA-256 manifest required,中,NO
待核实,Content/Assets/Mannequins,Content/Assets/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Bwd.uasset,606204,AnimSequence,角色 / 动作 / 重定向,,test / authoring dependency: dependency of /Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,/Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,ignored,external local archive + SHA-256 manifest required,中,NO
待核实,Content/Assets/Mannequins,Content/Assets/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Bwd_Left.uasset,537145,AnimSequence,角色 / 动作 / 重定向,,test / authoring dependency: dependency of /Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,/Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,ignored,external local archive + SHA-256 manifest required,中,NO
待核实,Content/Assets/Mannequins,Content/Assets/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Bwd_Right.uasset,536961,AnimSequence,角色 / 动作 / 重定向,,test / authoring dependency: dependency of /Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,/Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,ignored,external local archive + SHA-256 manifest required,中,NO
待核实,Content/Assets/Mannequins,Content/Assets/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Fwd.uasset,475175,AnimSequence,角色 / 动作 / 重定向,,test / authoring dependency: dependency of /Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,/Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,ignored,external local archive + SHA-256 manifest required,中,NO
待核实,Content/Assets/Mannequins,Content/Assets/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Fwd_Left.uasset,410951,AnimSequence,角色 / 动作 / 重定向,,test / authoring dependency: dependency of /Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,/Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,ignored,external local archive + SHA-256 manifest required,中,NO
待核实,Content/Assets/Mannequins,Content/Assets/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Fwd_Right.uasset,410945,AnimSequence,角色 / 动作 / 重定向,,test / authoring dependency: dependency of /Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,/Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,ignored,external local archive + SHA-256 manifest required,中,NO
待核实,Content/Assets/Mannequins,Content/Assets/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Left.uasset,485849,AnimSequence,角色 / 动作 / 重定向,,test / authoring dependency: dependency of /Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,/Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,ignored,external local archive + SHA-256 manifest required,中,NO
待核实,Content/Assets/Mannequins,Content/Assets/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Right.uasset,491304,AnimSequence,角色 / 动作 / 重定向,,test / authoring dependency: dependency of /Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,/Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,ignored,external local archive + SHA-256 manifest required,中,NO
仍被使用,Content/Assets/Mannequins,Content/Assets/Mannequins/Materials/M_Mannequin.uasset,58332,Material,材质 / 纹理,,dependency of /Game/Assets/Mannequins/Materials/Quinn/MI_Quinn_01,/Game/Assets/Mannequins/Materials/Quinn/MI_Quinn_01; /Game/Assets/Mannequins/Materials/Manny/MI_Manny_01_New,ignored,external local archive + SHA-256 manifest required,保留,NO
仍被使用,Content/Assets/Mannequins,Content/Assets/Mannequins/Materials/Manny/MI_Manny_01_New.uasset,17895,MaterialInstanceConstant,材质 / 纹理,,dependency of /Game/Assets/Mannequins/Meshes/SKM_Manny_Simple,/Game/Assets/Mannequins/Meshes/SKM_Manny_Simple; /Game/Assets/Mannequins/Materials/Manny/MI_Manny_02_New,ignored,external local archive + SHA-256 manifest required,保留,NO
仍被使用,Content/Assets/Mannequins,Content/Assets/Mannequins/Materials/Manny/MI_Manny_02_New.uasset,18663,MaterialInstanceConstant,材质 / 纹理,,dependency of /Game/Assets/Mannequins/Meshes/SKM_Manny_Simple,/Game/Assets/Mannequins/Meshes/SKM_Manny_Simple,ignored,external local archive + SHA-256 manifest required,保留,NO
仍被使用,Content/Assets/Mannequins,Content/Assets/Mannequins/Materials/Quinn/MI_Quinn_01.uasset,11357,MaterialInstanceConstant,材质 / 纹理,,dependency of /Game/Assets/Mannequins/Meshes/SKM_Quinn_Simple,/Game/Assets/Mannequins/Meshes/SKM_Quinn_Simple; /Game/Assets/Mannequins/Materials/Quinn/MI_Quinn_02,ignored,external local archive + SHA-256 manifest required,保留,NO
仍被使用,Content/Assets/Mannequins,Content/Assets/Mannequins/Materials/Quinn/MI_Quinn_02.uasset,10891,MaterialInstanceConstant,材质 / 纹理,,dependency of /Game/Assets/Mannequins/Meshes/SKM_Quinn_Simple,/Game/Assets/Mannequins/Meshes/SKM_Quinn_Simple,ignored,external local archive + SHA-256 manifest required,保留,NO
待核实,Content/Assets/Mannequins,Content/Assets/Mannequins/Meshes/IK_SKM_Quinn_Simple.uasset,91862,IKRigDefinition,角色 / 动作 / 重定向,,test / authoring dependency: Tools/Presentation/author_combat_animations.py,/Game/Presentation/Animation/RTG_Combat_Verina; /Game/Presentation/Animation/RTG_Combat_Remiel; /Game/Presentation/Animation/RTG_Combat_Huohua; /Game/Presentation/Animation/RTG_Combat_EvernightMoon; /Game/Assets/mmd/Character/Velina/Rigs/RTG_维琳娜6_Mannequin; /Game/Assets/mmd/Character/Sparxie/Rigs/RTG_星穹铁道—火花2_Mannequin,ignored,external local archive + SHA-256 manifest required,中,NO
仍被使用,Content/Assets/Mannequins,Content/Assets/Mannequins/Meshes/SK_Mannequin.uasset,191166,Skeleton,角色 / 动作 / 重定向,,dependency of /Game/Assets/Mannequins/Rigs/CR_Mannequin_FootIK,/Game/Assets/Mannequins/Meshes/SKM_Quinn_Simple; /Game/Assets/Mannequins/Rigs/CR_Mannequin_FootIK; /Game/Assets/Mannequins/Meshes/SKM_Manny_Simple; /Game/Assets/Mannequins/Anims/Unarmed/MM_Idle; /Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run; /Game/Assets/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Right; /Game/Assets/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Left; /Game/Assets/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Fwd_Right; /Game/Assets/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Fwd_Left; /Game/Assets/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Fwd; /Game/Assets/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Bwd_Right; /Game/Assets/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Bwd_Left; /Game/Assets/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Bwd; /Game/Assets/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Right; /Game/Assets/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Left; /Game/Assets/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Fwd_Right; /Game/Assets/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Fwd_Left; /Game/Assets/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Fwd; /Game/Assets/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Bwd_Right; /Game/Assets/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Bwd_Left; /Game/Assets/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Bwd; /Game/Assets/Mannequins/Anims/Unarmed/ABP_Unarmed; /Game/Assets/Mannequins/Anims/Unarmed/Jump/MM_Land; /Game/Assets/Mannequins/Anims/Unarmed/Jump/MM_Jump; /Game/Assets/Mannequins/Anims/Unarmed/Jump/MM_Fall_Loop; /Game/Assets/Mannequins/Anims/Unarmed/Attack/MM_ChargedAttack; /Game/Assets/Mannequins/Anims/Unarmed/Attack/MM_Attack_01; /Game/Assets/Mannequins/Anims/Rifle/HitReact/MM_HitReact_Front_Med_01,ignored,external local archive + SHA-256 manifest required,保留,NO
仍被使用,Content/Assets/Mannequins,Content/Assets/Mannequins/Meshes/SKM_Manny_Simple.uasset,15828446,SkeletalMesh,角色 / 动作 / 重定向,,dependency of /Game/Assets/Mannequins/Rigs/CR_Mannequin_FootIK,/Game/Assets/Mannequins/Rigs/CR_Mannequin_Body; /Game/Assets/Mannequins/Rigs/CR_Mannequin_FootIK; /Game/Assets/Mannequins/Rigs/PA_Mannequin; /Game/Assets/Mannequins/Meshes/SK_Mannequin,ignored,external local archive + SHA-256 manifest required,保留,NO
仍被使用,Content/Assets/Mannequins,Content/Assets/Mannequins/Meshes/SKM_Quinn_Simple.uasset,16253191,SkeletalMesh,角色 / 动作 / 重定向,,dependency of /Game/Assets/Mannequins/Meshes/SK_Mannequin,/Game/Presentation/Animation/RTG_Combat_Verina; /Game/Assets/Mannequins/Meshes/IK_SKM_Quinn_Simple; /Game/Presentation/Animation/RTG_Combat_Remiel; /Game/Presentation/Animation/RTG_Combat_Huohua; /Game/Presentation/Animation/RTG_Combat_EvernightMoon; /Game/Assets/mmd/Character/Velina/Rigs/RTG_维琳娜6_Mannequin; /Game/Assets/mmd/Character/Sparxie/Rigs/RTG_星穹铁道—火花2_Mannequin; /Game/Assets/Mannequins/Meshes/SK_Mannequin; /Game/Assets/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Right; /Game/Assets/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Left; /Game/Assets/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Fwd_Right; /Game/Assets/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Fwd_Left; /Game/Assets/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Fwd; /Game/Assets/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Bwd_Right; /Game/Assets/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Bwd_Left; /Game/Assets/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Bwd; /Game/Assets/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Right; /Game/Assets/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Left; /Game/Assets/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Fwd_Right; /Game/Assets/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Fwd_Left; /Game/Assets/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Fwd; /Game/Assets/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Bwd_Right; /Game/Assets/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Bwd_Left; /Game/Assets/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Bwd,ignored,external local archive + SHA-256 manifest required,保留,NO
仍被使用,Content/Assets/Mannequins,Content/Assets/Mannequins/Rigs/CR_Mannequin_Body.uasset,16668532,ControlRigBlueprint,蓝图 / 数据 / 其他资源,,dependency of /Game/Assets/Mannequins/Meshes/SKM_Quinn_Simple,/Game/Assets/Mannequins/Meshes/SKM_Quinn_Simple; /Game/Assets/Mannequins/Meshes/SKM_Manny_Simple,ignored,external local archive + SHA-256 manifest required,保留,NO
仍被使用,Content/Assets/Mannequins,Content/Assets/Mannequins/Rigs/CR_Mannequin_FootIK.uasset,498429,ControlRigBlueprint,蓝图 / 数据 / 其他资源,,dependency of /Game/Presentation/Animation/Locomotion/EvernightMoon/FINAL_EvernightMoon_ABP_Unarmed,/Game/Presentation/Animation/PR_ABP_Remiel_Unarmed; /Game/Presentation/Animation/PR_ABP_EvernightMoon_Unarmed; /Game/Presentation/Animation/ABP_Playable_Verina; /Game/Presentation/Animation/ABP_Playable_Remiel; /Game/Presentation/Animation/ABP_Playable_Huohua; /Game/Presentation/Animation/ABP_Playable_EvernightMoon; /Game/Presentation/Animation/Locomotion/Verina/LIVE_Verina_ABP_Unarmed; /Game/Presentation/Animation/Locomotion/Verina/FIX_Verina_ABP_Unarmed; /Game/Presentation/Animation/Locomotion/Verina/FINAL_Verina_ABP_Unarmed; /Game/Presentation/Animation/Locomotion/Remiel/LIVE_Remiel_ABP_Unarmed; /Game/Presentation/Animation/Locomotion/Remiel/FIX_Remiel_ABP_Unarmed; /Game/Presentation/Animation/Locomotion/Remiel/FINAL_Remiel_ABP_Unarmed; /Game/Presentation/Animation/Locomotion/Huohua/LIVE_Huohua_ABP_Unarmed; /Game/Presentation/Animation/Locomotion/Huohua/FIX_Huohua_ABP_Unarmed; /Game/Presentation/Animation/Locomotion/Huohua/FINAL_Huohua_ABP_Unarmed; /Game/Presentation/Animation/Locomotion/EvernightMoon/LIVE_EvernightMoon_ABP_Unarmed; /Game/Presentation/Animation/Locomotion/EvernightMoon/FIX_EvernightMoon_ABP_Unarmed; /Game/Presentation/Animation/Locomotion/EvernightMoon/FINAL_EvernightMoon_ABP_Unarmed; /Game/Assets/mmd/Character/Velina/Animations/ABP_Velina_Unarmed; /Game/Assets/Mannequins/Anims/Unarmed/ABP_Unarmed,ignored,external local archive + SHA-256 manifest required,保留,NO
仍被使用,Content/Assets/Mannequins,Content/Assets/Mannequins/Rigs/PA_Mannequin.uasset,303021,PhysicsAsset,蓝图 / 数据 / 其他资源,,dependency of /Game/Assets/Mannequins/Meshes/SKM_Quinn_Simple,/Game/Assets/Mannequins/Meshes/SKM_Quinn_Simple; /Game/Assets/Mannequins/Meshes/SKM_Manny_Simple,ignored,external local archive + SHA-256 manifest required,保留,NO
仍被使用,Content/Assets/Mannequins,Content/Assets/Mannequins/Textures/Manny/T_Manny_01_BN.uasset,1422874,Texture2D,材质 / 纹理,,dependency of /Game/Assets/Mannequins/Materials/M_Mannequin,/Game/Assets/Mannequins/Materials/Manny/MI_Manny_01_New; /Game/Assets/Mannequins/Materials/M_Mannequin,ignored,external local archive + SHA-256 manifest required,保留,NO
仍被使用,Content/Assets/Mannequins,Content/Assets/Mannequins/Textures/Manny/T_Manny_01_D.uasset,699644,Texture2D,材质 / 纹理,,dependency of /Game/Assets/Mannequins/Materials/M_Mannequin,/Game/Assets/Mannequins/Materials/Manny/MI_Manny_01_New; /Game/Assets/Mannequins/Materials/M_Mannequin,ignored,external local archive + SHA-256 manifest required,保留,NO
仍被使用,Content/Assets/Mannequins,Content/Assets/Mannequins/Textures/Manny/T_Manny_01_MRA.uasset,712683,Texture2D,材质 / 纹理,,dependency of /Game/Assets/Mannequins/Materials/M_Mannequin,/Game/Assets/Mannequins/Materials/Manny/MI_Manny_01_New; /Game/Assets/Mannequins/Materials/M_Mannequin,ignored,external local archive + SHA-256 manifest required,保留,NO
仍被使用,Content/Assets/Mannequins,Content/Assets/Mannequins/Textures/Manny/T_Manny_02_BN.uasset,20999481,Texture2D,材质 / 纹理,,dependency of /Game/Assets/Mannequins/Materials/Manny/MI_Manny_02_New,/Game/Assets/Mannequins/Materials/Manny/MI_Manny_02_New,ignored,external local archive + SHA-256 manifest required,保留,NO
仍被使用,Content/Assets/Mannequins,Content/Assets/Mannequins/Textures/Manny/T_Manny_02_D.uasset,1036801,Texture2D,材质 / 纹理,,dependency of /Game/Assets/Mannequins/Materials/Manny/MI_Manny_02_New,/Game/Assets/Mannequins/Materials/Manny/MI_Manny_02_New,ignored,external local archive + SHA-256 manifest required,保留,NO
仍被使用,Content/Assets/Mannequins,Content/Assets/Mannequins/Textures/Manny/T_Manny_02_MRA.uasset,1059648,Texture2D,材质 / 纹理,,dependency of /Game/Assets/Mannequins/Materials/Manny/MI_Manny_02_New,/Game/Assets/Mannequins/Materials/Manny/MI_Manny_02_New,ignored,external local archive + SHA-256 manifest required,保留,NO
仍被使用,Content/Assets/Mannequins,Content/Assets/Mannequins/Textures/Quinn/T_Quinn_01_D.uasset,674857,Texture2D,材质 / 纹理,,dependency of /Game/Assets/Mannequins/Materials/Quinn/MI_Quinn_01,/Game/Assets/Mannequins/Materials/Quinn/MI_Quinn_01,ignored,external local archive + SHA-256 manifest required,保留,NO
仍被使用,Content/Assets/Mannequins,Content/Assets/Mannequins/Textures/Quinn/T_Quinn_01_MRA.uasset,791686,Texture2D,材质 / 纹理,,dependency of /Game/Assets/Mannequins/Materials/Quinn/MI_Quinn_01,/Game/Assets/Mannequins/Materials/Quinn/MI_Quinn_01,ignored,external local archive + SHA-256 manifest required,保留,NO
仍被使用,Content/Assets/Mannequins,Content/Assets/Mannequins/Textures/Quinn/T_Quinn_01_N.uasset,1263830,Texture2D,材质 / 纹理,,dependency of /Game/Assets/Mannequins/Materials/Quinn/MI_Quinn_01,/Game/Assets/Mannequins/Materials/Quinn/MI_Quinn_01,ignored,external local archive + SHA-256 manifest required,保留,NO
仍被使用,Content/Assets/Mannequins,Content/Assets/Mannequins/Textures/Quinn/T_Quinn_02_D.uasset,943420,Texture2D,材质 / 纹理,,dependency of /Game/Assets/Mannequins/Materials/Quinn/MI_Quinn_02,/Game/Assets/Mannequins/Materials/Quinn/MI_Quinn_02,ignored,external local archive + SHA-256 manifest required,保留,NO
仍被使用,Content/Assets/Mannequins,Content/Assets/Mannequins/Textures/Quinn/T_Quinn_02_MRA.uasset,974188,Texture2D,材质 / 纹理,,dependency of /Game/Assets/Mannequins/Materials/Quinn/MI_Quinn_02,/Game/Assets/Mannequins/Materials/Quinn/MI_Quinn_02,ignored,external local archive + SHA-256 manifest required,保留,NO
仍被使用,Content/Assets/Mannequins,Content/Assets/Mannequins/Textures/Quinn/T_Quinn_02_N.uasset,1524724,Texture2D,材质 / 纹理,,dependency of /Game/Assets/Mannequins/Materials/Quinn/MI_Quinn_02,/Game/Assets/Mannequins/Materials/Quinn/MI_Quinn_02,ignored,external local archive + SHA-256 manifest required,保留,NO
仍被使用,Content/Assets/Mannequins,Content/Assets/Mannequins/Textures/Shared/T_UE_Logo_M.uasset,59693,Texture2D,材质 / 纹理,,dependency of /Game/Assets/Mannequins/Materials/M_Mannequin,/Game/Assets/Mannequins/Materials/Manny/MI_Manny_02_New; /Game/Assets/Mannequins/Materials/M_Mannequin,ignored,external local archive + SHA-256 manifest required,保留,NO
仍被使用,Content/Assets/mmd,Content/Assets/mmd/Character/Evernight/Animations/A_face_星穹铁道—长夜月2.uasset,104342,AnimSequence,角色 / 动作 / 重定向,,dependency of /Game/Assets/mmd/Character/Evernight/Meshes/POSE_face_星穹铁道—长夜月2,/Game/Assets/mmd/Character/Evernight/Meshes/POSE_face_星穹铁道—长夜月2,ignored,external local archive + SHA-256 manifest required,保留,NO
仍被使用,Content/Assets/mmd,Content/Assets/mmd/Character/Evernight/Animations/ABP_Post_星穹铁道—长夜月2.uasset,113740,AnimBlueprint,角色 / 动作 / 重定向,,dependency of /Game/Assets/mmd/Character/Evernight/Meshes/SK_星穹铁道—长夜月2,/Game/Assets/mmd/Character/Evernight/Meshes/SK_星穹铁道—长夜月2,ignored,external local archive + SHA-256 manifest required,保留,NO
仍被使用,Content/Assets/mmd,Content/Assets/mmd/Character/Evernight/Materials/MI_biaoq.uasset,32378,MaterialInstanceConstant,材质 / 纹理,,dependency of /Game/Assets/mmd/Character/Evernight/Meshes/SK_星穹铁道—长夜月2,/Game/Assets/mmd/Character/Evernight/Meshes/SK_星穹铁道—长夜月2; /Game/Assets/mmd/Character/Evernight/VA_星穹铁道—长夜月2_VrmAssetList,ignored,external local archive + SHA-256 manifest required,保留,NO
仍被使用,Content/Assets/mmd,Content/Assets/mmd/Character/Evernight/Materials/MI_biaoq_outline.uasset,25845,MaterialInstanceConstant,材质 / 纹理,,dependency of /Game/Assets/mmd/Character/Evernight/VA_星穹铁道—长夜月2_VrmAssetList,/Game/Assets/mmd/Character/Evernight/VA_星穹铁道—长夜月2_VrmAssetList,ignored,external local archive + SHA-256 manifest required,保留,NO
